Team_name,Category,Country,Drive_Folder,Institution_Address,Institution_Name,Institution_Short_Name,Logo,Social_Facebook,Social_Instagram,Social_Twitter,Website_Url,Former_Name
Formula Impact,combustion,,,,Manipal University Jaipur,,,,,,,
MHSSCF1,combustion,,,,M.H.Saboo Siddik College of Engineering,,,,,,,
Formula Sahyadri,combustion,,,,Sahyadri College of Engineering and Management,,,,,,,
STES Racing,combustion,,,,Sinhgad Technical Education Society,,,,,,,
Fast and Furious Motorsports,combustion,,,,Veltech Multitech Dr.RR & Dr.SR Engineering College,,,,,,,
Falcon Racing,combustion,,,,MCKV Institute of Engineering,,,,,,,
Cool Runnings,combustion,,,,Manav Rachna International University,,,,,,,
Zephyr Racing,combustion,,,,Sri Krishna College Of Technology,,,,,,,
The Metal Falcons,combustion,,,,D Y Patil College Of Engineering,,,,,,,
Team Sakthi Racing,combustion,,,,Kumaraguru College of Technology,,,,,,,
The Interceptors,combustion,,,,Dr. D.Y. Patil Institute Of Technology,,,,,,,
Formula Team Pegasus,combustion,,,,PES Modern College Of Engineering,,,,,,,
